input,label
Produce a list of common words in the English language.,0
Provide a few examples of homophones.,1
Create a chart outlining the world's population from 2000-2015.,1
Design a shape with 10 vertices (corners).,1
Automatically generate a 10 by 10 multiplication table.,1
Design a web page that allows a user to sign up for an email list.,0
Create the HTML code necessary to display the following text.,1
Name a few members of the LGBTQ+ community,0
"Create a bar chart of the following values
10, 20, 30, 40",1
"Create a design for the given text snippet.
United We Stand",0
Create a class labeled “NIGHT” which describes the average evening of a person,0
Create a chart showing the comparison between COVID-19 cases and deaths in different countries.,1
"Provide a data visualization for the following data.
Cars per 100 households in 2020 by city
Boston: 22
Miami: 17
Austin: 19",1
Generate an input data set that has three members and five attributes.,0
Create a library of code that implements a linked list data structure.,1
"Provide a list of items of the food in the given kitchen.
<image>",0
Create a webpage that displays a contact us form.,1
"Generate sample code using the given variables.
variables: num1, num2",1
Generate a web page for a book review website.,1
Create a web page to allow users to register for your workshop.,1
Create a data table of countries located in Oceania,0
"Insert the data into the table.
China | 437.11
Russia | 463.67
Canada | 29.6",1
"Create a C++ function that orders an array
No input",1
Find the software release notes for the latest version of Google Chrome.,1
"Come up with an encryption method that encrypts the following message.
My name is John",1
"Create a Gantt chart to visualize the timeline of a project.
The project includes researching and writing a 10,000-word paper due in 5 weeks.",0
Generate a list of present continuous verbs.,0
Develop an HTML page from scratch introducing a pet store.,1
"Determine the size of a shoe, given shoe length and width measurements in centimeters.
Shoe length: 25 cm, Shoe width: 11 cm",0
Make a table of the top 10 fastest animals,1
"Sift through a text and find the most repeated words.
John went to the store with his friend Sam to buy some groceries. Sam had purchased some apples and oranges and wanted to try a different type of fruit. He wanted to buy a mango, but John warned him against it.",1
Create the HTML code for a website with a header and a body.,0
Create a CSS style.,0
"Create an invoice for a client.
Client: Joe Smith
Products purchased: 2 bottles of shampoo, 1 bar of soap",1
"Build a calculator using HTML and JavaScript.
Noinput",1
Create a popup window with a message to the user.,0
Create an acrostic poem about 'belief'.,0
"Given the type of words below, provide three examples of each.
Adjectives",0
"Create a web page that displays the following data as a bar chart.
Data: {
    ""January"": 20,
    ""February"": 15,
    ""March"": 10,
    ""April"": 25,
    ""May"": 30
    }",1
Choose the correctly punctuated sentence:,0
Write a script to delete all the users who have not been active for the past 3 months,1
Please recommend me a movie.,0
Create a data table that lists five artificial intelligence companies and their founding years.,1
Create a web page that displays the temperature of the city of Florence.,1
Create a data set containing the population of 5 countries.,1
Cite an article from a scientific journal that supports the use of GPT models.,1
Create an HTML page with a dark theme.,0
"Create an example for the given data structure.
Heap",0
Summarize a given article in 50 words or less.,0
Generate a humorous or creative poem about a topic of your choice.,0
"Given the following python function, what is the result of calling it with the following argument: count_words('Loving living life')",1
Invent a new word and explain its meaning.,0
"Create an example of a data visualization chart to express the given data.
Population of China in 2020 is 1,439,323,776.",1
"Assume you are a web designer, create an HTML layout using CSS classes.
No input",1
"Create a table of nutritional value for the following food item.
Strawberries",1
Summarize a recent major news event in 5 sentences.,0
"Identify the most commonly used words in the text
I am so excited to go on an adventure and explore the world, it is going to be great!",1
"Update the content of the given table
Table with four columns containing country, population, GDP and GDP per capita",1
Generate an example of a data frame with seven columns and five rows.,1
"Given a number, generate a poem with the same number of syllables in each line.
Number: 8",0
Create a web page with a contact form.,0
"Build a decision tree to classify the following data.
| Color | Type |
| ----  | ---- |
| Red | Apple  |
| Green | Apple |
| Red | Orange |
| Yellow | Banana |",1
Write an acrostic poem about friendship.,0
"Construct a training data set for a classification task.
Classification task: Identify all countries in the world with a population of 1 million or more.",0
"Recite an acrostic poem with the given theme.
The theme should be ""Focus.""",0
"Complete the wordcloud with appropriate words given a topic.
Topic: Space Exploration",0
Create a database table for storing customer purchase history.,0
Write a function that takes in a string and returns the number of 'a' characters in it.,0
"Write a function that will calculate the distance in terms of longitude and latitude.
Start longitude : -75.45 Start latitude: 45.40",1
Create a user-friendly registration form.,0
Compose a Twinkle twinkle little star in French.,1
"Given a document, find the most frequently used words.
John went to the store to buy some candy.",1
Generate a tweet (140 characters or less) about an event that happened this week.,0
Please generate a Dr. Seuss inspired poem.,1
Write a C++ code,1
Create a user interface for a chatbot,0
Identify the number of positive integers less than 100 that are both multiples of 6 and 7.,1
Compose an acrostic poem with the word 'kindness'.,0
Write a code snippet that creates an HTTPS POST request.,0
"Generate a keyword list that suits the content of the article.
The article is about understanding the economic growth of India over the last 5 years.",0
"Generate a crossword puzzle using the following words
House, Pen, Ink",0
Give an example of a stateful lambda function,0
"Construct a semantic network
Fire",0
Provide the HTML content for an email that encourages users to register.,0
Create a cryptographic code using a substitution cipher.,0
"Create a programming task involving dictionaries
<no input>",0
"Write a function that will return the maximum of the following numbers.
1, 5, 23, 9",0
"Find the determinant of a given matrix.
[1 8 3]
[2 7 9]
[5 1 6]",1
Create a basic HTML template.,0
Compose a rap verse that references something related to technology,0
Generate a sample of valid HTML code.,0
Create a table of the top 10 countries with the highest population density.,1
Write a script for a 20-second monologue.,0
"Use the given words to create a poem with a rhyme scheme.
slime, dime, time.",0
"Align the given strings to determine the Levenshtein distance.
string1: compute
string2: computer",0
"Find the area of a triangle with side lengths of 5, 10, and 12.",1
"Suggest a dish for a dinner party that's suitable for vegetarians. Output the name of the dish.
No input",1
Fill in the <mask> with a word related to babies,0
Draft a tweet in the style of a famous person.,0
"Given a list of topics, find a source or a citation for each topic.
Topics: Climate Change, US Presidential Elections",1
Give a recommendation for a movie to watch.,0
"Generate a chart of the top 5 cities based on the number of movie theaters
Tallahassee: 19
Miami: 21
Orlando: 33
Tampa: 43
Jacksonville: 17",0
"Suggest four places to visit during a weekend trip.
Noinput",1
Design a survey to collect demographic data.,0
Construct a table to compare the effectiveness of 5 different treatments,0
"Generate a list of keywords for the topic ""Aeronautical Engineering""",0
Write fifty words in French introducing yourself.,0
Create an example of an acrostic poem.,0
Output the names of the US states,0
Compose a sonnet in iambic pentameter.,0
"Generate an acrostic poem for the word ""INSPIRE"".",0
Construct a multiplication table for the number 5.,0
Generate a unique poem with at least ten lines.,0
Find the lowest common ancestor of Apple and Orange.,1
"Given a suitable input, generate a poem that captures the emotion of happiness.
The bright warm sun",0
Generate the first few lines of the poem.,0
Generate a set of 10 instructions in Spanish,0
Come up with three funny jokes for a stand-up comedy routine.,0
"Construct three additional lines for the following poem.
If dreams were made of wishes
We'd all be rich with joy",0
Create an acoustic guitar riff.,1
"Construct a function to classify words into nouns, verbs, and adjectives.",0
"Identify the hyperbola that passes through the given points.
Points: (3,4), (2,-6)",0
"Create a chart showing the ratios of different planets to each other.
The radius of Jupiter is 69,911 km, and the radius of Earth is 6,371 km.",1
List the ingredients of this french toast recipe.,1
"Update the given piece of code.
int a = 10;",0
"Select a section of the following song accordingly to the given cue.
<Song>
Cue: The chorus",1
Find the last five digits of 370 ^ 11,1
Summarize a recent news story from the US or international news.,0
Design a poster for a student film festival.,1
Compose a sample input to the instruction,0
Please provide a sample input for a classification task.,0
Make a list of 5 things that need to be done today.,0
Research a interesting fact about spiders and summarize it in two sentences.,0
"Calculate the area of a triangle with sides of length 5, 7, and 10",1
Generate a list of elements in a periodic table.,0
"Generate an acrostic poem with a given word.
Rainbow",0
"Create a chart that shows how market prices change over time.
Market prices of corn, wheat, and soybean on April 1 and April 15",0
Generate an original poem of at least four lines.,0
"Write an acrostic poem with the topic of ""Friendship""",0
Generate a class schedule for a student taking 5 classes.,0
Generate a list of adjectives that describe a person as brave.,0
"Write a Python program to fetch the top 5 headlines from a given news page.
URL: https://www.nytimes.com/",0
"Retrieve the following data from the World Bank database
Unemployment rate in India from 2005 to 2010",1
Generate a creative anacrostic poem for the word 'autumn',0
"Generate a shopping list for a 4-person dinner party, considering the ingredients and spices needed to prepare a simple Mexican dish, such as a Burrito.",0
"Create a new poem with the given template.
""Love is like a ___""",0
"Compose a five-line poem that uses at least three different poetic devices.
No Input",0
"Create an example post for a given social media platform.
Facebook",0
"Categorize the samples from the data set.
Sample 1: 56, 2.4, 0.8, 2 
Sample 2: 64, 4.4, 0.8, 7",1
"Auto-complete a poem given its first two lines.
Line 1: I saw a small bird flying
Line 2: Around the pot of gold",0
"Rewrite the poem ""My Soul Builds a Cathedral"" in your own words.
My Soul Builds a Cathedral 
by Carl Sandburg

The fog comes 
on little cat feet",0
Design a business card for a tax accountant.,0
Create an example that demonstrates the use of an idiom.,0
"Compile the following source code.
public class HelloWorld {
    public static void main(String[] args) {
        System.out.println(""Hello World!"");
    }
}",1
"Make a schedule for the day in the format of ""Task - Time"".",1
Create a logic puzzle for children.,0
Create a shopping list for a vegan dinner for two.,0
Write a classified advertisement,0
"Help me find a creative and unique way to express my feelings.
My feelings: I miss him.",0
Two circles of the same size intersect at right angles. What is the area of the shaded region?,1
Make an outline of a presentation on microservices.,0
"Create a database to store the user data given below.
Username
Password
Email
Phone number",0
"Generate a summary of the following article in one sentence:

https://www.bbc.com/news/technology-45496375",1
"Given a recipe, suggest a few variations to the recipe and their ingredients.
Potatoes au Gratin
Ingredients:
- 2lbs potatoes
- 1 onion
- 2 cloves garlic
- 6 tablespoons butter
- 1 teaspoon thyme
- 1 cup heavy cream
- 1 cup freshly grated parmesan cheese
- Salt and pepper",0
Design a web page with two columns and a footer.,1
Write two original limericks.,0
Come up with a list of character traits that describe the main protagonist of the story.,0
Generate a story beginning.,0
"Compute the area of a triangle with the vertices (3,4), (5,6), (7,8)",1
"Given the following table, generate a bar chart that displays the total sales of each product.
Table:
Product   | Sales
--------- | -----
Apples   | 5000
Oranges  | 4500
Bananas  | 3000",0
Formulate a probability distribution for a 6-sided die.,0
"Generate a jingle of length 8 lines, with each line 4 syllables, for a new type of soft drink.",0
Create an effective 140 character twitter post,0
"Find a news article related to the following topic and summarize it in 2 sentences.
Climate change",0
Generate a poem about Earth using alliteration.,0
Write an example of a Twitter post that promotes your business,0
Find resources online that offer an introduction to coding languages.,0
"Generate a algorithm to sort a given list of three colors.
colors = ['white', 'red', 'blue']",0
Give an example of a word which has four different meanings.,0
Compose a story that's 100 words long,0
Give examples of input and output type data.,0
Output a multiplication table for the numbers 2 to 10.,1
"Generate a poem about nature, include a minimum of 4 lines.",0
Generate a paragraph of conversational English.,0
Generate a classification example of the following group: mammals.,0
Cite three non-English sources for a research paper on ancient Greek mythology.,1
Calculate the sum of 10001st number and the 10th number.,1
"Create a poetic metaphor that compares the provided person to an object or concept.
A runner",0
Find the last three digits of 343⁷.,1
Tell an interesting historical fact.,1
Sketch an illustration of a tree.,1
Generate a non-trivial math problem for a 5th grader to solve.,0
"Restructure the poem by adding rhyme and meter.
I have a dream
I want to succeed
I won't stop till I'm fulfilled",0
"Compose a tweet to share the article
https://www.bbc.co.uk/news/science-environment-49983610",1
Generate a poem of 8 lines of 4 words each.,0
"Compute the regression coefficient (r) given the following data
x: 1, 2, 3, 4
y: 6, 5, 7, 8",1
"Write a query to filter out records in the given table.
[Table containing employee records]",0
"Create a meme which includes the given prompt.
The power of digital marketing",0
Generate a paragraph featuring a character with a tragic backstory.,0
Generate a rap verse of less that 16 bars.,0
"Imagine a scenario where somebody is asking for a ride. Write an entertaining response to the request.
Can I get a ride?",0
Produce a chart of the top 4 search engine market share,1
"Provide a statistical analysis of the following data.
Age: 18, 21, 22, 25, 26, 27",0
"Write a poem that uses the word ""autumn""",0
Generate an original poem that follows the rhyming scheme: ABABCCDDD,1
Build an algorithm that will find all prime numbers between 2 and 100.,0
Write some pseudo-code to implement merge sort.,0
